A-1	絶好調！あなたの魅力が自然にこぼれて、片想いも実る暗示です。
K-100	食欲旺盛！特にランチタイムを大切にすると、ますます好調に。
L-100	体調は悪くないのに心の方は疲れ気味。お昼は屋外で過ごすと吉。
A-101	体調を気にしてほしい一日です。お酒の飲み過ぎには要注意。
B-101	胃腸に負担をかけないように注意。良く噛んで刺激物は避けて。
C-101	胃がムカついたり食欲不振で今ひとつ。量は少なくてもキチンと。
D-101	インターネットで「健康」を検索してみて。役立つ情報アリ。
E-101	ウェイトダウンへはまず食事から。低カロリー高蛋白をメインに。
F-101	空気の澄んだ場所はいい影響が。森林浴や散歩に出かけてみよう。
G-101	順調！アロマオイルを入れた入浴は熟睡とストレス解消に効果が。
H-101	順調！多少のストレスは、体を動かす事で解消。階段で移動して。
I-101	体力には問題のない日。アフター５はカラオケでスッキリして吉。
J-101	良好。でも体調がすぐれない人はストレスが原因。プラス思考で。
K-101	体質に合った健康法が見つかるかも。いい病院の紹介もありそう。
L-101	食事の見直しを。食べた物を書き出す習慣から改善が望めそう。
A-102	健康づくりに目覚めそう。スポーツをはじめる良いチャンス！
B-102	ピッタリの健康法が見つかりそう。見かけた情報はやってみて。
C-102	運動や健康法など、身体にいいことを今日から始めてみては？
D-102	ダイエットを始めるのにピッタリの日。健康的で身も心も軽く。
E-102	食事もお酒もおいしくなりそうな好調日！疲れは一晩で回復。
F-102	食べ歩きにツキあり。友人達とグルメとおしゃべりを楽しもう。
G-102	好調！体調維持には軽めのエクササイズが効果的。よく食べ動く。
H-102	無理しなければ順調。集中力を高めたいなら、レモンの芳香剤を。
I-102	良好！暴飲暴食に気をつければＯＫ。疲れには甘い物を食べて。
J-102	まずまず好調。ふさぎ気味の気分もさわやかに。散歩を楽しんで。
K-102	スポーツグッズに吉。ウェアーを買ったりジム通いに最適の日。
L-102	何でもおいしくてつい食べ過ぎ飲み過ぎに。心配なのは体重だけ。
A-103	気分上々、身体も元気！思い通りに頑張りがききそうな一日です。
B-103	心身ともにピッカピカの健康印。でも調子にのって無茶しないで。
C-103	晴れやかな気分で、パワフルに活躍。睡眠時間を十分にとって。
D-103	精神的な安定から心身ともに快調。ただし、ムリをするとＮＧ。
E-103	健康に関するイイ情報アリ。いつも元気な友人に、秘訣を聞こう。
F-103	快調な一日。競技系のスポーツでは良い記録を残せそうです。
G-103	好調！精神的にも安定しているので、禁酒、禁煙を実行して吉。
H-103	快調！上機嫌で過ごせそう。持病に良い治療法が見つかりそう。
I-103	心も体も元気一杯。友達と楽しく食べる事が、今日一番の健康法。
J-103	順調！肩こりや体の痛みは長めの入浴でスッキリ回復するはず。
K-103	洗いたてのシャツの様にさわやか気分。大きな声で笑うと元気に！
L-103	健康的な生活を始めるのに最適な日。無理なく生活リズムを改善。
A-104	不調の波がザッパーン。とにかく睡眠をたっぷりとることです。
B-104	調子がおかしいと思ったら病院へ行きましょう。食生活に注意。
C-104	だるくて、ボーッとしそう。車の運転や会議でのトラブルに注意。
D-104	今までのツケが回って体力が低下気味。早めに専門医の診断を。
E-104	何となく不調を感じるかも。疲れのせいでは。ムリをしないで。
F-104	体調はベストとは言えないかも。お酒の飲み過ぎには気をつけて。
G-104	ながら食いは太るだけでなく肌荒れにも。食事の取り方に注意！
H-104	疲れがたまって体に不調を感じやすい日。早めにベッドに入って。
I-104	ストレスを感じやすい日。疲れた心は、長めのお風呂で癒そう。
J-104	パワーダウン！運動不足からだるさを感じる事も。医師の検査を。
K-104	今一つスッキリしない感じ。風邪かな？と思ったら睡眠、休養を。
L-104	不調なのに内科の見立ては異常なし。心療内科を受診してみては？
A-105	身体を動かすことが多くなりそう。心地よい疲れが味わえるはず。
B-105	新しいスニーカーやスポーツウェアーが吉。身体が動きそう。
C-105	今日見つけた健康食品は、体質に合っているはず。長続きします。
D-105	集中力が持続しなければ気分転換に仕事中の散歩が効果大。
E-105	健康へのアンテナ感度アップで早めの手当ができそう。
F-105	意外な人からピッタリの健康情報をキャッチしそう。実行してね。
G-105	今日の健康運はまずまず。カラオケでストレスを発散させ元気。
H-105	体調は基礎体力次第。疲れ気味の人は仕事の合間にストレッチを。
I-105	大きな声で笑う事が、ストレスを吹き飛ばします。冗談で快調に。
J-105	体調は気持ち次第で良くも悪くも。一度心療内科を訪ねてみては？
K-105	今日はフットワークが軽いはず。元気がモリモリわいてきそう。
L-105	ついガマンして悪化させてしまう人も、初期段階で受診する気に。
A-106	疲れがたまっているようです。小さなケガに注意して。
B-106	不注意からケガをしてしまうかも。足元などには気をつけて。
C-106	気持ちが浮ついてケガが絶えない日。熱いお茶で心を落ち着けて。
D-106	意識して休養を。働きすぎや気の使いすぎから疲労やストレスが。
E-106	体調はいいけど、不注意になっていそう。ケガに注意！
F-106	睡眠不足に悩みそうな日。ホットミルクを飲んでから床に入って。
G-106	バテ気味のわりには無理をしがち。夜遊びは体調ダウン。休養を！
H-106	睡眠不足に悩まされそうな日。軽い運動の後、果実酒が効果アリ。
I-106	無自覚のまま、無理をしがちな日。自分の体をいたわる必要が。
J-106	ストレスから持病が再発する恐れアリ。タバコやお酒は控える事。
K-106	疲れがたまっている人は、十分に休養を。無理すると後で大変！
L-106	睡眠時間は十分なのに不眠感あり。自然の中で気分転換をして。
A-107	日頃のムリがたたりそう。身体と心のバランスに気を使って。
B-107	精神的なストレスが…。ぬるめのお風呂でゆっくりとリラックス。
C-107	胃腸や肌にムリがでやすい暗示が。食事に注意。たっぷり睡眠。
D-107	精神的に不安定な一日。入浴や水泳が情緒を安定させてくれます。
E-107	責任重大な仕事でストレスがたまりそう。同僚と一杯はいかが？
F-107	どこも悪くないのにパワーが出ない…。規則正しい生活を始めて。
G-107	不調気味でも頑張りすぎてしまう様子。自分の体に気を使って！
H-107	体に対して神経質に。健康食品よりも栄養価の高い食品をとろう。
I-107	精神的なダメージを受けやすい日。根をつめず、リラックスを。
J-107	過労気味です。食事が不規則な人は、ビタミン剤等でフォローを。
K-107	心と体がアンバランスになりツケが出てきそう。ペースダウンを。
L-107	健康に黄信号が点灯。働き過ぎの暗示も。休養しないと大事に！
A-108	禁煙のグッドチャンス。自分から止めたいと思える暗示です。
B-108	自然食や薬膳レストランに出かけてみては？活力が増進します。
C-108	スポーツを通して仲間ができそう。アクティブな生活が定着。
D-108	気分爽快で明るく過ごせる日。いつもよりお腹が空くかもね。
E-108	熟睡が今日の元気のポイント。スッキリした目覚めがあればＯＫ。
F-108	あまり縁が無かった食材や料理をしてみると吉。好奇心と食欲が！
G-108	特に問題ナシ。タバコや激辛料理などの刺激物は控えめにして。
H-108	メリハリをつけて過ごすと吉。仕事は適度に休憩して気分転換を。
I-108	スムーズに体が動くはず。ミント系のハーブティーがおすすめ。
J-108	今日はのんびりしたペースで。１０分間でもリラックスタイムを。
K-108	タバコやお酒を減らしたい人には、今日は最適。無理せず自然に。
L-108	野菜ジュースを選んだりと自然に体の欲してる事を実行できそう。
A-109	自分をいたわることを思い出して！限界点が間近の暗示ですよ。
B-109	ちょっとしたケガに気をつけて。注意力が散漫になりやすいから。
C-109	ちょっと下降気味。市販薬で誤魔化している人は病院へ行こう。
D-109	自己流ダイエットは要注意。身体の不調が出そう。正しい方法で。
E-109	ストレスや体の疲れでお酒の量が増えそう。ゆっくり休もう。
F-109	ストレスから頭痛や肩こり！眠りが浅ければオトギリ草のお茶を。
G-109	特に胃の裏側の冷えは全身の調子が悪くなりそう。暖かい物を。
H-109	頭と体の疲れ方がアンバランス。夜、散歩してぬるめのお風呂に。
I-109	思ったより疲れがたまっているみたい。自分の体調に気を使おう。
J-109	精神的な疲れから集中力が欠けてしまいそう。休養を考えてみて。
K-109	頑張り過ぎがたたって身も心もボロボロに。自分をいたわってね。
L-109	アルコールに依存する傾向がグンと強くなる暗示。心の問題が大。
A-110	ストレスで体調を崩しそうな暗示。ちゃんと休むことが大事です。
B-110	疲労感で不調かも。栄養剤や薬ではなく心の疲労にも睡眠が一番。
C-110	ストレスが原因で体調を崩しそう。でも、大袈裟に考えないで。
D-110	病的な仕事で自分を追い込んで身体がギブアップ。心にゆとりを。
E-110	パワーダウン。風邪をひきやすいのでタップリの睡眠と栄養を。
F-110	ストレスから体調を崩す暗示。家にまで仕事を持ち込まない事。
G-110	心と体のバランスが悪くイライラしそう。散歩などで気分転換を！
H-110	ダルさに悩まされそう。病院で検診を受け原因をハッキリさせて。
I-110	何となく不調を覚えそう。本来の生活リズムを取り戻すように。
J-110	風邪かな？と思ったらすぐ病院へ。放っておくと別の病気へと…。
K-110	体が思うように動かないのは自分を責めるより精神科を受診して。
L-110	過労の上に心労が重なりそう。頑張りすぎると、糸がプッツン。
A-111	急に身体を動かすと、大きなケガをしてしまいそう。ムリは禁物。
B-111	夜更かしや暴飲暴食に注意。今日のツケはあとでやってきますよ。
C-111	疲れのせいで思うように動けず、ケガや事故にあいやすい日。
D-111	不慮の事故やケガが心配。不摂生から体調を崩しがち。休息を。
E-111	体力が低下していそう。早めに仕事を切り上げて家でくつろいで。
F-111	注意力や判断力に欠けがちな日。ケガや事故、車の運転に要注意！
G-111	体力の過信から無茶なスケジュールに。頑張りすぎにご用心！
H-111	ケガの暗示。急に体を動かすのは危険。少しずつ運動を始めよう。
I-111	体力の過信に注意！睡眠不足から注意力が散漫になると大ケガも。
J-111	急にハードなスポーツをするのは危険！高血圧や過労の人は注意！
K-111	思わぬ事故やケガの暗示。今日は急激な運動は避けた方が無難。
L-111	体力を過信し無茶してませんか？要注意！救急車を呼ぶ事態にも。
A-112	身体は休みたがっているはず。静かな時間を大事にしましょう。
B-112	忙しいのに身体が動かずイライラ…！倒れる前に休息しよう。
C-112	かなり疲れそうな一日。空気の入れ替えや軽い運動で、息抜きを。
D-112	やけに活動的な日に。ただ、命にかかわるトラブルの暗示。注意！
E-112	体を動かしたい衝動に。急にハードな運動は体の筋を痛めそう。
F-112	ハードなスポーツが楽しめる日。でも体力はいまひとつ。程々に。
G-112	健康運に注意信号！疲れがたまる一方。いつもより早めに休んで。
H-112	スポーツにツキあり。運動後はよくマッサージして筋肉痛に注意。
I-112	体を動かす事が心地いい日。スポーツ前にはよく準備運動をして。
J-112	スポーツへの意欲がわく日、でもケガの暗示も。体をほぐそう。
K-112	自分に無頓着になり過ぎると周囲に迷惑をかけるので注意して。
L-112	興奮状態かも。刺激を求めて飛び回りたくなる暗示。慎重に！
A-113	なじんだ人たちに囲まれて、無理せずのびのびと過ごせそうです。
B-113	人間関係はとっても快調。ホームパーティーで友情が深まりそう。
C-113	人気運が高いので、人が集まり笑いの絶えない時間が。自然体で。
D-113	家族やイイ仲間と関係が深まる好調日。おいしいものでハッピー。
E-113	家族とゆったり過ごす時間がラッキーポイント。癒してくれます。
F-113	知人や友人と楽しく過ごせる日。ホームパーティーを開いても吉。
G-113	家族や親友のぬくもりに心が和むとき。いい影響を与え合えます。
H-113	小さな親切がツキを。人の笑顔を見て幸せな気持ちに包まれそう。
I-113	家族のありがたさを実感しそう。悩み事は親や兄弟に相談してね。
J-113	家族や親友などとの時間を大事にするとラッキー。心にゆとりが。
K-113	大吉！家族や友達とリラックスした時が。それが明日への鋭気に。
L-113	苦手な人間関係から解放されリラックス出来る人達と過ごせる日。
A-114	仲直りには絶好のチャンスです。気まずくなっている人に電話を。
B-114	楽しい時間が過ごせそう。多くの人とのコミュニケーションが吉。
C-114	苦手な人とうち解けられるチャンス。積極的に話しかけてみて。
D-114	プライベートでの関係が良好。アフター５での出会いは親密に。
E-114	交友関係に活気のある日。今日の出会いはきっと助けになるはず。
F-114	気さくさや会話で、友人とのコミュニケーションがバッチリ。
G-114	価値観がピッタリの友人と出会える予感。驚くほど似てるはず。
H-114	それほどでもなかった人が真の親友になり、深い絆で結ばれそう。
I-114	旧友と会って話をすると、エネルギーがわきそう。近況を語ろう。
J-114	幸運日。生涯の友人になれそうな人が出現し交友関係に広がりが。
K-114	対人関係はスムーズ。気まずかった人とも進行を深められそう。
L-114	仲直りの大チャンス！気まずいあの人に「元気？」のメールでも。
A-115	あなたを応援してくれる、嬉しい申し出や親切が待っているはず。
B-115	興味ある分野の人との交際範囲が広がるチャンス。積極的にね。
C-115	心強い味方が出現する予感。心を開いて接する事がポイント。
D-115	共通の趣味を持つ友人とはいいライバル関係で成長できそう。
E-115	友人とのおしゃべりが楽しい日。悩み事にいいアドバイスがアリ。
F-115	サークル仲間達と盛り上がれそう。親切にしてくれる人も出現？
G-115	手をさしのべてくれる人が現れそう。好意は素直に受け取ろう。
H-115	共通の趣味などで出会いがありそう。損得勘定抜きの良い関係に。
I-115	気持ちを十分理解してくれる交際が出来そうな友人が現れそう。
J-115	趣味などを通じて、友人が増えていく暗示。積極的に近づこう。
K-115	ジーンときそうな親切に出会う暗示。人の温かさが実感できる日。
L-115	誰とでも緊張せずに過ごせそう。親身になってくれる人もいそう。
A-116	なかなかイイ関係になれる新しい人たちとの出会いがありそう。
B-116	人の好意に思わずポロリ。感謝の気持ちで一杯になるでしょう。
C-116	初めての場所で交友関係が広がる暗示。友達と新スポットへ！
D-116	人見知りの人も友達の輪が広がりそう。マイペースでいこう。
E-116	友人との楽しい日なのに疲れを感じそう。しばらく一人になろう。
F-116	今日は、浅く広くいろいろな人達と付き合うと、頭が活性化する。
G-116	今日は表舞台に立つよりも黒子に徹するとラッキーが呼べそう。
H-116	友人から良い刺激を得られる日。旧友と飲みに行ってはいかが？
I-116	感謝の気持ちを込めた贈り物をしよう。人間関係がスムーズに。
J-116	誰にでもいい顔せず本当に大切な人を大事に。八方美人も程々に！
K-116	交友関係が広がりそう。深く理解しあえる人と出会えるチャンス！
L-116	大勢に囲まれ、ソツなく楽しそうに。本当はかなり気疲れしそう。
A-117	思い出話が吉。懐かしい人と久しぶりの再会もありそうです。
B-117	疎遠になっていた友達に連絡して。新展開に期待して誘いはＯＫ。
C-117	幼馴染みから朗報が届くかも。思い出話で幸運アップの暗示。
D-117	嬉しい再会の期待が。気まずいままの疎遠もわだかまりなく話が。
E-117	イヤなヤツに親しみがわくかも。共通する部分が多くありそう。
F-117	自分と違うタイプの友人と話をしてみては？視野が広がるかも。
G-117	精神的にゆとりが。回りの相談に乗ってあげると信頼度アップ。
H-117	人間関係を上手に利用して。改善交渉は上司と先輩をおだてて。
I-117	心が寛大になり誰とでも公平につきあえる日。長所を吸収しよう。
J-117	仕事上の仲間はビジネスライクに割り切った方がスムーズで、吉。
K-117	昔の同級生に連絡するとラッキーが。子供時代の思い出が影響大。
L-117	特に親しくない人がフレンドリーに。あなたに興味があるはず。
A-118	家族や友達と楽しく過ごせそう。小さなことにハッピーの予感。
B-118	友達と外に出てグッド。ワクワクする出来事が待っているはず。
C-118	友達や同僚の悩み事を聞いてあげて。的確にアドバイスできます。
D-118	口下手でもメールでなら感謝の気持ちを上手く伝えられるはず。
E-118	ケンカしていた相手とも仲直りのチャンス！本音で心を語って。
F-118	親友や家族と楽しい時間が。ショッピングやおしゃべりも吉。
G-118	交友関係が活発で行動半径もグーンと。友人へのヘルプは快諾。
H-118	友人からラッキー情報をゲットできそう。メールや手紙を送って。
I-118	飲み会の席で人気者になれる予感。楽しい話題をたくさん用意。
J-118	今日は人の上に立つより、サポートする方がラッキー。参謀役に。
K-118	気の合う人達と他愛のないおしゃべりがいい気分転換になりそう。
L-118	今日は素直に本音で話が出来そう。気持ちが温かくなる様な事も。
A-119	人間関係に疲れている人も、きょうはリラックスして過ごせそう。
B-119	苦手な上司やお局様から気に入られそう。周囲への気配りを。
C-119	友達と過ごすと心が癒されそう。会話の中に解決のヒントあり。
D-119	お付き合いで多忙な日。八方美人は不誠実に見られそう。程々に。
E-119	人間関係がとってもスムーズ。いつものメンバーで楽しくね。
F-119	他人の目を気にせずイイ意味でマイペース。積極的に話しかけて。
G-119	人脈が広がる発展運。バックアップも、人に会う事を心がけて。
H-119	趣味志向が合う友人が増えそう。リラックスできる良い関係へと。
I-119	出会いのチャンスが広がる日。色々な人と親しくなってラッキー。
J-119	コミュニケーション運に恵まれる日。話を聞いてるだけで楽しく。
K-119	無理にしゃべらなくても、気持ちの通じる人が登場するかもね。
L-119	人づきあいが苦にならない気軽さの暗示。情報交換もスムーズに！
A-120	浮いてしまいがちな日。自己主張より冷静な観察が必要です。
B-120	小さなミスが大問題に発展する恐れアリ。慎重におとなしくして。
C-120	誤解から苦しい立場に。自己主張はハッキリと。遠慮がちはＮＧ。
D-120	疎外感に苦しむかも。協調性の足りなさを反省する事で好転。
E-120	デキの悪い人間にイライラして怒りをぶつけそう。広い心を！
F-120	自分の甘え過ぎから親しい友人とトラブルが。礼儀はわきまえて。
G-120	カンペキ主義もほどほどにしないと。多少の事は目をつぶって。
H-120	家族や親友と意見の衝突がありそう。百歩譲って収拾の糸口が。
I-120	人づきあいがスムーズにいかない日。無理をしないで自然体で。
J-120	今日のあなたは調子にのりすぎる面が。憎まれ口には注意して！
K-120	自己主張が強烈に出てしまいそう。周囲の意見を良く聞く事！
L-120	批判的な冷ややかさが表面に。人の失敗にも寛大さが今日の課題。
A-121	知らなかった新しいタイプの人と、意外なほど話がはずみそう。
B-121	パソコン通信等で出会いが？オフラインミーティングは吉。
C-121	同じ趣味の仲間との時間を。そこでのパワーが守ってくれます。
D-121	職場の人間関係の悩みを理解してくれる良い仲間のお陰で好転。
E-121	苦手だった人の意外な長所を発見。強い味方になってくれるかも。
F-121	社交的になれそうな暗示アリ。新しい対人関係にツキがありそう。
G-121	今日は素直になれ気持ちのイイ一日に。人の長所に目がいくはず。
H-121	直接自分で話をつけるよりも、周囲の人を上手く巻き込むと吉。
I-121	集団でワイワイやってラッキー。家にいてはもったいないですよ。
J-121	大人の賢いつき合いができそう。相手の出方をみて自分の態度を。
K-121	苦手意識で避けていた相手と、やけに意気投合できそうな暗示。
L-121	先入観で人間関係を狭めている暗示。色眼鏡をはずしてみよう！
A-122	話のすれ違いや他人に振り回されて、イライラしそう。深呼吸を。
B-122	話の行き違いで、窮地に。真剣に説明して。誠意は伝わりますよ。
C-122	人の欠点ばかり目について、イライラ。気持ちに余裕を持って。
D-122	楽しみな約束がキャンセルされたり小さなすれ違いがありそう。
E-122	今日の待ち合わせはトラブルが多いかも。場所や時間に注意して。
F-122	正反対の性格の人と、一緒に行動してカッカしそう。冷静に。
G-122	人とトラブってカリカリしそう。ケンカはあなたから折れて吉。
H-122	見かけでの判断は禁物！あなたを狭める結果に。先入観を捨てて。
I-122	誤解されがちな日。性格が合わない人には言葉を選んで話して。
J-122	周囲と意見が合わずイライラ！大勢の中では自分の主張は控えて。
K-122	イライラと緊張感の高まる暗示。他人の都合に振り回されそう。
L-122	あちこちですれ違いが生じそう。変更事項も多くて、イライラ。
A-123	取り越し苦労や人の世話で疲れそう。マイペースが吉です。
B-123	仲介を頼まれるかも。頑張っても徒労でしょう。深入りは禁物。
C-123	他人のことで走り回りそう。最善を尽くしてあなた自身に幸運が。
D-123	人間関係のストレスがたまりそう。カラオケで適度に気晴らしを。
E-123	好意だと思ってした事が仇に。あまり親しくない人には迷惑かも。
F-123	誰かのミスを尻拭いするハメに。その相手からは感謝されます。
G-123	回りに意思をハッキリと伝えないと無用のトラブルが発生しそう。
H-123	周囲、特に目上の人の評判が気になる日。取り越し苦労はヤメて。
I-123	さりげない優しさが感謝される日。やっかみも気にしないで。
J-123	誰にでも親切になれ、信頼もアップ。中には見極めが肝心の人も。
K-123	いつの間にかまとめ役を引き受ける形になってしまい苦労しそう。
L-123	「あなたのため」を連発して周囲がウンザリ。そっとしてあげて。
A-124	気軽に誰とでも話せる日。苦手だった人とも打ち解けられそう。
B-124	親、兄弟との関係に吉運あり。電話してみては？心が温かく…。
C-124	友達との事は思い過ごしかも。何気ないコンタクトできっと安心。
D-124	とっつきにくいと思っていた人が実は親切で心優しい事を実感。
E-124	ギクシャクしていた関係が和解に向かう暗示。素直な言葉で。
F-124	学生時代の仲間と旧交を温めてみては？得るものが大きいはず。
G-124	友達と楽しく盛り上がるのが吉。ちょっとした人気者になれそう。
H-124	疎遠になっている友人からラッキーが。電話やハガキで気軽に。
I-124	偏見から自由になれる暗示。気乗りでない人間関係もスムーズに。
J-124	縁の下の力持ち、そんな事が自然にできて高く評価されるはず。
K-124	誰とでもフレンドリーに。色々な分野の話をたっぷり楽しんで。
L-124	気配り上手に徹しすぎて、後でクタクタになってしまうかも。
A-125	困ったちゃんのせいでムカッの連発かも。無視するのが一番です。
B-125	困っている人を助けたくなるでしょう。でも裏目に出ることも。
C-125	話の行き違いで、誤解されるかも。気にしないで、時間が解決！
D-125	ちょっと緊張気味かも。あれこれ考えても答えの出ない事もアリ。
E-125	自分の考えややり方を強調しすぎるのは考えもの。困惑されそう。
F-125	ちょっと損な役回りを覚悟。必ず実になる事だから誠実に対処。
G-125	思わぬ意地悪や噂話などでハードな一日。誤解はすぐ解けそう。
H-125	今日のあなたは偏屈かも。素直になれず、自分も相手も不愉快に。
I-125	今日は、いまひとつ不調を覚悟。妙に落ち込むことがありそう。
J-125	周囲といざこざを起こしやすい星回り。自己主張が強く出そう。
K-125	あまりツイていないかも。社会常識のない相手に振り回されそう。
L-125	企画がドタキャン、そんな不調の暗示が。気分を切り替えて！
A-126	親切の度が過ぎて、ありがた迷惑に思われてしまいそう。要注意。
B-126	わがままな人に振り回されそう。大変だけど後で返ってきますよ。
C-126	世話を焼きすぎて浮いてしまいそう。小さな親切、大きなお世話。
D-126	本当は寂しい甘えん坊に振り回されるかも。毅然と対応して。
E-126	悪い評判が流れている気が？取り越し苦労だから自信を持って！
F-126	面倒な事を押しつけられるかも。見返りは期待しない方が…。
G-126	親切のつもりがお節介だと言われてショック！興味本位だけかも。
H-126	人に上手く利用されるかも。悪気はないのでさほど害はなさそう。
I-126	トラブルメーカーに振り回されそう。感情的になるとＮＧ耐えて。
J-126	嫌われたくない気持ちで、言いたい事をガマンしそう。正直に！
K-126	親切のつもりでも相手には大きなお世話かも。相手の身になって。
L-126	自分の中の不安が不安を呼んで、カリカリ！自滅しないように。
A-127	話がかみ合わない人たちの間で、居心地の悪い思いをするかも。
B-127	苦手な人と長く一緒にいて疲れそうな一日。覚悟を決めておいて。
C-127	予定変更が周囲と気まずくなりそうな暗示。時間厳守を心がけて。
D-127	感性や価値観が全く違う相手との口論は不毛な水かけ論なだけ。
E-127	意見が合わない人の中でウンザリしそう。正面から行くのは注意。
F-127	相手の都合で約束を破られ不愉快になりそう。キレないように！
G-127	コミュニケーションは最悪！親友と大ゲンカも。口の災いに注意。
H-127	人から誤解されやすい日。大事なことは直接相手に伝えましょう。
I-127	話が行き違い恥ずかしい思いをしそう。話は鵜呑みにしない方が。
J-127	今日は一人静かに過ごした方が吉。話を合わせるとストレスが！
K-127	方法論が全く異なる人とぶつかる暗示。譲歩か決裂しか道はナシ。
L-127	考え方が全く違う人と衝突の暗示。平行線なので適当に流して。
A-128	新しい交友関係が広がる暗示だけれど、はしゃぎすぎが心配。
B-128	八方美人は、反感を買いそう。大事な人の信頼をなくさないよう。
C-128	なぜか無神経な振る舞いをしそう。大事な関係にヒビが…。
D-128	人の受け売りを連発して失笑を買いそう。自分らしさを大切に。
E-128	他人の影響をモロに受けやすい日。相手により良くも悪くも変化。
F-128	相手によってコロコロ態度を変えすぎると、信用をなくす結果に！
G-128	良く思われたくて回りを意識しすぎ。それでは信頼を失いますよ。
H-128	交友関係が広がる日。好ましくない人物かも。警戒心は忘れずに！
I-128	外向的になれそう。調子に乗りすぎて迷惑をかける恐れもアリ。
J-128	損得勘定で付き合っていると、人間関係に亀裂を生じる恐れが！
K-128	悪目立ちして大失敗！の心配が。新しい人脈が広がる日。注意を。
L-128	新しい刺激をもたらす出会いもアリ。好影響とは言えなさそう。
A-129	ノーマークの馬に注目。あれよあれよと快走し出す可能性あり
B-129	先手必勝をモットーに。積極的に勝負に出ることで勝運が舞い込む
C-129	一番人気が馬っ気だしてレースは大荒れ。大穴狙いで行って正解
D-129	誰かとペアを組んでのチャレンジに勝運あり。数字も偶数が狙い目
E-129	街中でふと目にはいった看板の数字に注目。天からの啓示かも
F-129	西方のギャンブルにツキ。ラッキーナンバーは８またはその倍数
G-129	ビギナーズラックの暗示。今までやったことのない賭けに挑戦を
H-129	友人の忠告がとても参考になる。その道の達人に尋ねてみては？
I-129	宝くじで大金がつかめるかも。普段あまり人気のない売場にツキ
J-129	流れがつかめて面白いように勝ちの連続。万馬券連発もあり得る
K-129	ふと目にした出目論にツキ。今回のみだけどうまく当たりそう
L-129	勝負に強いとき。情報誌などは無視。自分のパターンでいって正解
A-130	荒れに荒れて大どんでん返しあり。今日は大穴ねらいでいく
B-130	気合い乗りもばっちり。余裕で大勝利の暗示。とことん勝負を
C-130	素人さんの思いつきに大勝利の暗示。あくまでも偶然と心得る
D-130	インスピレーションに恵まれる。迷いを吹っ切り大きく賭ける
E-130	ドル箱山積みの暗示。黄色の財布がツキを呼び込むポイント
F-130	ひらめきが面白いように当たる日。出がけに下着をかえてでる
G-130	メンツが四人そろったら麻雀の段取りを。東方面の雀荘にツキ
H-130	一発逆転が期待できる機運。最後の最後まで冷静でいること
I-130	念力がパワーアップ。念ずれば狙ったところへすっぽりくるハズ
J-130	予知能力が覚醒した？　次から次と閃きがビンビン来てしまう
K-130	念じれば通じる日。ここと思ったところを心の中でつよく念じる
L-130	夢の中でお告げが。忘れてしまった人はちょっと昼寝でもしてみる
A-131	オーラスでうれしい大逆転が。最後まで粘る精神力が必要
B-131	宝くじに幸運の暗示あり。誕生日の数字がツキを呼ぶカギ
C-131	今日はカンがかなり冴えている。データよりも直感重視で
D-131	基本に立ち返る。正道をいくことでしっかり儲けがでてくるはず
E-131	勝負を楽しむ心の余裕が勝ちを呼ぶ暗示。応援馬券の購入に吉
F-131	スロットルやポーカーなど洋物にツキ。外国産馬にも注目を
G-131	チャレンジ精神がタイミングよく発揮されて、勝算がＵＰ
H-131	勝ち味に遅い馬が狙い目。今日はがんばってくれそうな予感
I-131	花札など古式ゆかしいものにツキ。クラシック・レースも狙い目
J-131	先入観を捨てること。常識はずれのアプローチが勝利へのカギ
K-131	ジンクスがものの見事に当たってしまう。殺し馬券の購入に吉
L-131	ラッキーナンバーは３または９。三点ボックスにも勝算あり
A-132	上々。手始めに、レース場や雀荘近くの評判の食堂で腹ごしらえを
B-132	駅前のナンバーズ売り場にツキあり。昼休みが一番の狙い目
C-132	運気上り調子。初手からとばさず、様子をみながら攻めること
D-132	ひょんなことから攻略法がゲットできる。すぐさまパーラーへ
E-132	オーラスでうれしい大逆転が。最後までとことん粘る精神力が必要
F-132	黒三角（▲）の馬に期待ができる。三角買いにも幸運あり
G-132	今日は、新人戦・新馬戦・新台など新しいものと相性がいい
H-132	ラッキーナンバーは７。掛け金を７または７の倍数にすると◎
I-132	年長者やベテランのアドバイスに幸運が。謙虚に教えを請うこと
J-132	ヤケクソで打ってでて万馬券を当てる運気。エキサイトしすぎない
K-132	電話投票やＷＩＮＳでの購入に吉。株式や投資信託とも相性◎
L-132	ボルテージＵＰ。調子に乗り始めたら大胆に賭けて行くこと
A-133	メンツ、特に上家が誰かで運が左右される。血液Ｂ型が狙い目
B-133	気分次第で流れがかわりやすい。何があっても平常心でのぞむ。
C-133	どんでん返しがあっても影響はなし。楽しめることは楽しめそう
D-133	吉凶混合。あるていどのところでさっと身を引く潔さが必要
E-133	ステップレースのタイムに注目。その線で当たる可能性が大きい
F-133	競馬新聞などの情報は無視して正解。自分の閃きを信じること
G-133	流しでの購入にツキあり。軸は自分のイニシャルと同じ馬を
H-133	テレビ・雑誌でふと目についた数字やイメージにラッキーあり
I-133	雑誌広告に載っているラッキーグッズにツキ。まがい物に注意
J-133	羽根モノで粘ればもとはとれそう。ワニ革のベルトが運気ＵＰに
K-133	人があきらめたパチンコ台にツキ。長く居座っていたものほど〇
